"Father","Son"
65.05,59.78
63.25,63.21
64.96,63.34
65.75,62.79
61.14,64.28
63.02,64.24
65.37,64.08
64.72,64
66.07,64.61
66.97,63.98
59.01,65.24
62.93,65.35
63.67,65.68
64.07,65.44
64.69,65.29
65.15,64.79
66.37,65.02
65.58,65.55
67.37,65.08
66.76,65.49
67.8,65.14
69.53,65.51
62.54,66.58
63.81,66.38
64.46,66.15
64.97,65.97
64.71,65.96
65.74,66.45
65.5,65.75
65.55,65.97
66.9,65.91
66.57,65.91
66.53,66.47
67.91,65.75
68.29,66.35
67.74,66.09
68.47,66.28
69.38,66.34
71.82,66.42
62.42,67.23
64.49,67.46
64.49,66.99
63.92,66.77
65.45,67.03
65.03,66.84
65.67,69.3
68.66,69.09
66.55,61.66
64.86,65.73
69.61,68.98
64.81,67.37
65.33,67.17
65.83,67.07
65.83,67.29
65.56,67.63
65.87,67.48
65.77,66.92
67.09,67.58
66.61,67.21
67.41,66.82
67.28,67.24
66.61,67.51
68.17,67.57
67.81,67.17
68.33,67.54
68.08,67.37
68.97,67.6
68.93,67.25
69.61,66.83
70.36,66.73
70.01,66.93
72.75,67.65
62.82,68.04
62.87,68.49
63.91,68.05
64.54,68.35
64.52,68.34
66.03,68.31
65.81,68.18
66.02,68.51
65.54,68.12
65.73,68.32
66.77,68.05
66.68,68.61
66.98,67.94
66.94,68.08
66.85,68.37
67.12,67.85
67.74,68.2
68.27,68.02
67.61,68.23
68.45,67.9
67.66,68.62
68.71,67.98
69.32,68.27
68.74,67.94
69.13,68.62
69.35,68.24
68.63,68.59
69.58,68.07
70.4,68.38
71.19,67.76
70.82,68.6
71.65,67.91
73.28,67.84
63.04,68.78
63.66,69.61
65.38,69.69
64.6,69.41
66.41,69.69
65.77,69.21
65.67,69.46
66.06,69.6
66.55,69.28
66.57,69.52
66.65,68.74
67.72,69.31
68.49,69.23
67.83,69.24
67.56,69.49
68.08,69.12
69.17,68.94
68.69,69.46
68.62,69.28
68.65,69.23
68.62,68.71
70.36,69.35
70.01,68.87
70.14,69.3
70.21,69.16
71.28,69.63
70.9,69.11
72.19,69.1
74.96,69.03
64.88,69.86
65.55,70.06
65.66,69.9
65.93,70.26
65.94,70.53
67.44,70.53
67.48,69.79
67.61,70.37
68.45,69.98
68.49,69.83
68.11,70.7
69.48,70.17
69.07,70.12
69.39,69.95
69.44,70.31
69.52,69.81
70.15,69.97
69.87,69.94
70.44,69.73
70.85,70.08
71.3,70.01
72.14,70.65
72.19,70.01
75.43,70.09
64.52,71.34
66.36,70.82
65.57,71.45
66.79,71.19
66.91,71.66
68.17,71.4
67.5,70.74
67.83,71.26
68.95,71.05
69.26,71.26
68.74,70.89
69.74,71.32
70.3,71.56
70.04,71.18
70.24,71.03
70.88,71.37
71.19,71.65
72.37,71.12
73.03,70.92
74.81,71.66
67.4,72.39
67.32,71.88
67.78,72.34
69.34,72.17
68.72,72.52
69.99,71.99
69.75,72.34
70.66,72.45
71.11,72.27
72.48,71.97
72.48,72.18
67.52,72.79
68.24,73.04
68.8,72.88
69.9,73.17
71.49,73.63
70.76,72.88
71.91,73.18
63.08,74.32
68.23,74.41
70.06,73.77
70.84,73.92
72.57,73.76
67.93,75.56
67.54,75.7
72.8,77.21
62.67,61.29
68.19,74.28
65.07,70.93
73.43,75.35
62.94,61.79
62.54,64
69.9,62.47
71.07,73.7
71.11,66.35
69.48,62.21
70.18,65.42
65.46,63.99
62.04,62.78
63.6,63.52
65.61,63.5
68.03,62.9
61.82,63.73
63.79,63.73
64.89,64.4
65.79,63.7
66.42,64.45
68.81,64.28
61.77,65.18
64.3,65.1
63.69,65.56
65,64.94
65.35,65.14
64.81,65.17
65.72,65.58
66.03,65.63
67.05,64.87
67.78,65.42
69.05,64.72
62.18,65.85
62.76,65.77
63.88,66.67
65.41,66.55
64.62,66.43
65.65,66.33
66.16,66.25
66,66.4
65.8,66.69
67.43,66.22
67.12,66.43
67.33,66.66
67.86,65.77
68.32,66.21
67.96,66.3
68.69,65.82
71.18,66.35
62.43,66.88
62.89,66.82
64.07,67.36
63.89,67.68
64.83,67.2
65.4,67.27
64.77,67.45
68.67,68.96
65.2,62.01
64.33,64.11
66.08,66.01
69.02,65.78
64.5,66.94
66.08,66.81
65.74,67.01
66.45,67.44
65.63,66.84
66.39,67.25
67.34,67.52
66.84,67.18
66.7,67.61
67.35,66.9
67.35,66.75
67.94,67.17
67.77,67.24
68.12,66.76
68.25,66.8
68.83,67.49
69.41,67.11
69.32,67.06
70.48,66.94
70.06,67.55
70.64,66.86
62.41,67.71
63.15,67.88
63.51,68.67
63.91,68.58
64.62,68.44
64.86,68.41
65.91,68.45
66.2,68.38
66.46,67.93
65.5,68.3
66.88,67.97
67.08,68.18
66.83,68.58
67.18,68.57
66.52,67.82
66.95,67.88
66.64,68.23
68.18,68.01
67.61,67.85
68.28,67.8
67.98,68.6
69,68.09
69.31,67.88
68.89,68.48
68.95,68.6
69.42,68.08
69.5,68.08
70.35,67.73
69.92,68.41
70.69,68.6
70.57,68.28
72.41,68.06
72.48,68.41
62.72,69.37
63.9,69
64.5,69.37
64.82,68.89
65.38,69.37
65.83,69.34
66.29,68.97
65.81,69.6
66.81,69.25
67.17,69.68
67.31,68.91
67.55,69.07
67.87,69.03
68.35,69.18
67.61,69.64
68.48,68.83
68.57,69.24
69.07,69.1
68.57,68.99
69.15,69.32
